,importance
ax_skew,0.11891308240501174
ax_std,0.07722545298562253
ax_var,0.0711760360484302
a_total_max,0.06641455553910489
ay_range,0.055161275263913845
az_skew,0.05502172866601782
ay_kurtosis,0.05180170536503366
a_total_energy,0.045098542434807584
ax_rms,0.04258711627504709
az_std,0.035470739228275705
az_var,0.035406339789639335
ax_kurtosis,0.034891136767828394
a_total_absmean,0.03286449372153869
a_total_median,0.03203593184786715
ay_rms,0.029418105333335217
ay_mean,0.028928580023120726
ax_mean,0.025674251943361048
az_range,0.025450420894214783
ay_var,0.025341408830306934
ax_range,0.02158683303194763
ay_std,0.020569475623198233
az_kurtosis,0.016959712243737424
az_rms,0.01678200710209029
a_total_min,0.01446077845886028
ay_skew,0.012055377428830519
az_mean,0.008704912748858266
